userId,jokeId,rating
1,5,0.219
1,7,-9.281
1,8,-9.281
1,13,-6.781
1,15,0.875
1,16,-9.656
1,17,-9.031
1,18,-7.469
1,19,-8.719
1,20,-9.156
1,21,-7.188
1,22,-8.781
1,23,-8.531
1,24,-7.906
1,25,-7.469
1,89,9.812
1,50,9.906
1,102,0.75
1,103,-5
1,104,2.938
1,105,2
1,106,-0.156
1,107,2.031
1,108,5.688
1,109,9.656
1,87,8
1,93,9.312
1,76,9.312
1,65,8.781
1,72,8.781
1,27,8.781
1,36,8.781
1,119,8.781
1,120,8.781
1,35,8.781
1,53,8.781
1,91,8.781
1,83,8.781
1,32,8.781
1,121,8.781
1,123,8.781
1,29,8.781
1,31,8.781
1,66,8.688
1,69,8.688
1,54,8.688
1,127,8.688
1,128,0
1,42,0.062
1,80,0.062
1,49,0.062
1,62,0.219
1,34,-0.25
1,51,0.062
1,52,0.062
1,68,-0.125
1,81,0.125
1,61,0.031
1,26,0.031
1,92,3.625
1,118,0
1,134,3.344
2,5,-9.688
2,7,9.938
2,8,9.531
2,13,9.938
2,15,0.406
2,16,3.719
2,17,9.656
2,18,-2.688
2,19,-9.562
2,20,-9.125
2,26,9.938
2,27,9.781
2,28,9.812
2,29,9.906
2,30,3.125
2,50,9.938
2,36,9.844
2,32,-4.25
2,35,5.125
2,53,8
2,69,-5
2,89,9.562
2,21,9.844
2,54,-4.312
2,72,4.781
2,31,5.5
2,49,4.969
2,66,-2.125
2,62,4.75
2,65,3.688
2,81,-0.312
2,61,-0.781
2,83,3.938
2,48,9.281
3,5,-9.844
3,7,-9.844
3,8,-7.219
3,13,-2.031
3,15,-9.938
3,16,-9.969
3,17,-9.875
3,18,-9.812
3,19,-9.781
3,20,-6.844
3,33,-9.812
3,34,-9.781
3,37,-9.812
3,38,0.062
3,39,0
3,105,1.25
3,102,0.344
3,109,-9.812
4,5,-5.812
4,7,-4.5
4,8,-4.906
5,5,6.906
5,7,4.75
5,8,-5.906
5,13,-0.406
5,15,-4.031
5,16,3.875
5,17,6.219
5,18,5.656
5,19,6.094
5,20,5.406
5,40,0.25
5,41,4.438
5,42,5.562
5,43,6.094
5,44,0.5
5,109,0.312
5,102,3.812
5,62,0.625
5,50,1.969
5,32,4.906
5,36,4.469
5,35,3.812
5,66,0.469
5,49,4.281
5,27,0.438
5,53,2.594
5,68,0.781
5,89,6
5,76,7.062
5,21,6.375
5,29,1.188
5,69,0.562
5,48,0.344
5,72,8
5,28,2.281
5,38,2.812
5,54,1.188
5,56,2.75
5,93,4.375
5,78,4.812
5,104,1.438
5,61,1.688
5,97,3.906
5,91,3.562
5,83,2.875
5,87,3.188
5,31,3.219
5,96,7.719
5,88,6.281
5,65,4.906
5,95,5.75
5,22,7.031
5,47,6.25
5,94,2.5
5,81,3.906
5,92,6.156
5,46,5.781
5,82,4.156
5,39,4.812
5,45,3.969
5,26,4.188
5,73,3.562
5,34,0.531
5,80,-6.438
5,84,-0.031
5,77,0.875
5,25,0.906
5,23,0.094
5,70,0.406
5,90,-0.25
5,63,0.156
5,85,0.469
5,101,-7.906
5,100,0.594
5,99,0.469
5,55,0.781
5,86,0.344
5,30,0.281
5,98,0.844
5,59,-0.25
5,52,1.062
5,60,1.812
6,5,-0.031
6,7,-9.094
6,8,-0.406
6,13,7.5
6,15,-7.219
6,16,-9.438
6,17,0.125
6,18,-9.156
6,19,3.656
6,20,-9.438
6,45,-9.438
6,46,4.406
6,47,-8.281
6,51,-8.125
6,52,-4.812
6,50,-5.562
6,29,6.062
6,27,-9.062
6,36,8.125
6,21,7.906
6,35,8.406
6,65,-5.406
6,89,-5.094
6,53,3.844
6,31,5.969
6,83,-7.5
6,72,-7.5
7,5,-2.906
7,7,-2.344
7,8,-0.5
7,13,-0.969
7,15,2.25
7,16,0.406
7,17,0.875
7,18,0.406
7,19,1.438
7,20,-0.031
7,55,0.875
7,57,0.969
7,58,-0.312
7,59,0.312
7,60,0.406
7,50,1.812
7,36,1.969
7,89,3.281
7,32,1.969
7,27,1.625
7,29,2.625
7,49,2.438
7,35,1.812
7,62,1.969
7,69,4.188
7,68,1.344
7,72,1.719
7,53,1.531
7,54,-0.125
7,66,1.531
7,21,1.344
7,83,0.5
7,61,1.438
7,93,2.438
7,76,1.062
7,48,0.5
7,65,-0.406
7,31,-0.969
7,42,0.219
7,88,0.125
7,91,1.25
7,56,1.719
7,87,1.062
7,97,2.344
7,78,1.438
7,96,0.5
8,5,6.219
8,7,-7.438
8,8,-0.812
8,13,-3.438
8,15,0.531
8,16,0.531
8,17,2.344
8,18,-2.219
8,19,-4.531
8,20,2.281
8,63,-1
8,64,-4.406
8,67,2.125
8,70,1.969
8,71,-3.562
8,50,4
8,27,6.062
8,36,0.406
8,29,6.75
8,32,-0.875
8,35,0.031
8,53,7.25
8,89,3.75
8,49,2.969
8,69,4.875
8,54,3.625
8,62,7.625
8,66,0.531
8,68,3.188
8,21,5.719
8,65,5.719
8,61,5.719
8,42,5.719
8,31,5.719
8,72,3.719
8,56,5.875
8,76,5.344
8,93,5.094
8,81,5.188
8,88,5.188
8,83,3.312
8,87,8.375
8,91,8.375
8,48,-1.812
8,97,5.906
8,96,4.531
8,38,3.844
8,46,4.125
8,26,4.125
8,40,-3
8,78,-2.281
8,28,-1.969
8,39,4.875
8,94,-2.219
8,47,-4.75
8,95,-4.75
8,45,-0.125
8,100,6.156
8,101,-0.688
8,22,7.094
8,55,0.562
8,92,3.531
8,34,-3.312
8,98,8.781
8,84,-1
8,82,-1
8,73,-1
8,85,3.469
8,77,0.531
8,80,2.594
8,25,3.688
8,23,0.688
8,86,1.094
8,90,-6.406
8,52,6.094
8,60,-0.844
8,102,4.188
8,103,-0.219
8,104,0.875
8,105,0.875
8,106,1.281
8,107,0.969
8,108,4.594
8,109,3.562
8,99,0.062
8,41,0.062
8,75,0.062
8,30,0.062
8,51,0.062
8,59,0.062
8,79,0.062
8,43,0.062
8,33,0.062
8,37,1.281
8,74,1.281
8,24,1.281
8,57,1.281
8,44,1.281
8,58,1.281
9,5,8.25
9,7,9
9,8,8.875
9,13,9.75
9,15,9.375
9,16,9.219
9,17,9.031
9,18,8.844
9,19,-9.531
9,20,-5.938
9,110,-9.062
9,111,8.812
9,112,8.5
9,113,8.719
9,114,9.438
10,5,-5.75
10,7,0.281
10,8,0.781
10,13,8.281
10,15,3.594
10,16,-3.844
10,17,0.844
10,18,-6.312
10,19,3.375
10,20,6.594
10,115,7.125
10,116,8.781
10,117,8.031
10,118,7.25
10,119,1.406
10,50,6.75
10,29,0.75
10,32,9.531
10,36,8.125
10,27,-1.406
10,35,1.219
10,89,6.688
10,49,0.719
10,62,9.219
10,54,2.688
10,53,6.75
10,66,8.438
10,65,4.125
10,21,5.5
10,31,-6.188
10,72,2.188
10,69,2.406
10,61,1
10,42,-1.75
10,68,-0.219
10,56,-0.094
10,48,1.375
10,81,-0.812
10,100,1.875
10,101,0.094
10,76,1.875
10,46,-0.594
10,88,-0.375
10,83,1.031
10,39,2.75
10,45,5.844
10,93,1.875
10,40,3.688
10,26,1.062
10,38,3.219
10,28,1.406
10,87,2.219
10,78,1.906
10,22,2.469
10,91,6.688
10,85,-0.156
10,47,0.656
10,97,2.625
10,84,2.125
10,34,-2.062
10,94,2.031
10,25,1.188
10,52,0
10,96,2
10,80,4.75
10,92,2.344
10,98,-2.312
10,55,-3.438
10,95,1.75
10,82,5.469
10,41,2.406
10,23,-3.281
10,73,0.156
10,63,7.594
10,90,5.781
10,60,-2.031
10,70,3
10,64,-1.719
10,77,1.156
10,51,-1.938
10,99,2.125
10,86,1.469
10,59,1.781
10,30,1.281
10,79,-1.312
10,75,1.062
10,43,1.656
10,67,-1.938
10,33,0.375
10,37,-0.688
10,102,1.031
10,103,-1.031
10,104,2.219
10,105,0.219
10,106,5.406
10,107,4.844
10,108,3.281
10,109,-1
10,71,2.656
10,74,-1.469
10,24,-5.156
10,44,-0.156
10,57,0.438
10,58,-1.188
11,5,-7.156
11,7,-5.906
11,8,-0.094
11,13,-5.5
11,15,-6
11,16,0.25
11,17,3.438
11,18,-0.375
11,19,5.062
11,20,3.719
11,120,4.094
11,67,-2.75
11,71,3.562
11,74,0.094
11,75,2.188
11,89,3.031
11,50,4.75
11,32,3.781
11,27,3.688
11,35,2.5
11,62,3.219
11,93,0.156
11,36,3.375
11,66,3.938
12,5,-5.188
12,7,1.5
12,8,6.219
12,13,2.875
12,15,-2.719
12,16,-6.938
12,17,-0.188
12,18,6.5
12,19,9.938
12,20,-0.406
12,110,4.562
12,111,9.812
12,112,1.312
12,113,-0.188
12,114,9.844
12,103,5.812
13,5,-9.312
13,7,-9.375
13,8,-9.438
13,13,-1.875
13,15,-2.156
13,16,-8.875
13,17,-7.969
13,18,-8
13,19,-8.344
13,20,-8.844
13,115,-2.188
13,116,4.719
13,117,4.031
13,118,5.438
13,119,6.25
13,105,7.031
13,102,2.375
13,109,5.25
13,108,6.281
13,50,0.875
13,89,3.094
13,83,-7.094
13,53,4.625
13,29,-7
13,76,-3.031
13,27,-1.469
13,72,-3.719
13,36,2.219
13,65,0.031
13,21,-3.75
13,35,-6.438
13,69,1.562
13,32,3.344
13,31,2.25
13,107,4.094
13,100,-7.438
13,101,-6.781
13,66,-3.844
13,81,1.75
13,98,-7.219
13,87,3.156
13,54,2.594
13,49,2.875
13,93,3.281
13,42,2.812
13,68,3.094
13,61,3.531
13,91,0.906
13,56,-7.469
13,34,1.969
13,26,1.5
13,62,2.094
13,97,-7.344
13,104,2.469
13,80,0.094
13,39,-0.562
13,46,4.094
13,96,0.844
13,73,-0.781
13,78,-0.375
13,88,0.594
13,92,-2.188
13,95,-3.031
13,48,-7.625
13,47,-6.031
13,22,-1.125
13,28,-6.062
13,77,-6.781
13,25,-5.344
13,94,-7.375
13,70,-6.781
13,38,-6.25
13,23,-6.688
13,40,-7.375
13,52,-7.344
13,45,1.031
13,103,-7.438
13,55,-1.938
13,79,-7.812
13,82,-7.969
13,85,-8
13,99,-6.375
13,86,-7.812
13,75,-6.375
13,51,-6.781
13,90,-6.938
13,84,-7.438
13,63,-7.812
13,30,-8.375
13,43,-7.625
13,106,-4.219
14,5,-5
14,7,-3.906
14,8,-3.719
14,13,0
14,15,-0.938
14,16,-0.875
14,17,-1.812
14,18,-3.375
14,19,-0.531
14,20,-0.438
14,120,-0.688
14,64,-2.062
14,79,-2.031
14,110,0.25
14,111,-0.156
15,5,8.75
15,7,-9.688
15,8,-2.688
15,13,9.688
16,5,0.469
16,7,-9.938
16,8,1.562
16,13,-9.906
16,15,-9.938
16,16,-8.938
16,17,4.562
16,18,-9.969
16,19,-9.875
16,20,-9.938
16,112,-9.594
16,113,-9.5
16,114,9.969
16,115,2.656
16,116,-9
16,103,7
16,104,-9.844
16,107,-6.375
16,108,5.219
16,50,-5.562
16,29,-9.844
16,36,3.406
16,27,4.625
16,53,6.062
16,21,0.281
16,65,3.469
16,35,2.188
16,83,4.719
16,72,2.25
16,81,9.969
16,76,-0.781
16,100,-9.969
16,69,-2
